
"Source: Whip Media CVMi.  Movies only. Lionsgate, Universal Pictures, Warner Bros. Pictures, 20th Century Studios, Netflix, Columbia Pictures, Paramount Pictures, New Line Cinema, A24, MGM, Focus Features, Sony Pictures Classics, Screen Gems, Amazon MGM Studios, STX Entertainment, United Artists Pictures, Relativity Media, Searchlight Pictures, Neon, Metro-Goldwyn-Mayer, IFC Films, Annapurna Pictures, Roadside Attractions, IFC, Hulu, Warner Bros., HBO Films titles only. United States originated titles only. First released between 2023/01/01 and 2025/10/05 Yes sample."

Audience User Age Bucket,Audience User Gender,Content Details Title,Performance Viewer Count
50-54,female,Gladiator II,"7,139"
30-34,female,Aquaman and The Lost Kingdom,"7,131"
35-39,male,Saltburn,"7,129"
30-34,male,Creed III,"7,127"
30-34,male,Evil Dead Rise,"7,085"
30-34,male,Road House,"7,083"
50-54,male,Creed III,"7,056"
45-49,female,The Flash,"7,039"
45-49,male,Mission: Impossible - The Final Reckoning,"7,031"
45-49,female,A Haunting in Venice,"7,024"
18-24,female,Mickey 17,"7,017"
30-34,female,Beetlejuice Beetlejuice,"7,016"
45-49,female,Gladiator II,"7,013"
50-54,male,Jurassic World: Rebirth,"6,985"
45-49,female,Shazam! Fury of the Gods,"6,981"
18-24,female,Gran Turismo,"6,976"
35-39,male,Red One,"6,971"
35-39,female,Twisters,"6,965"
25-29,female,John Wick: Chapter 4,"6,955"
40-44,female,Madame Web,"6,944"
40-44,male,Mission: Impossible - The Final Reckoning,"6,944"
35-39,male,Conclave,"6,935"
18-24,female,Mission: Impossible – Dead Reckoning Part One,"6,902"
25-29,male,Wicked,"6,884"
35-39,female,Madame Web,"6,876"
50-54,female,Wicked,"6,855"
45-49,male,The Accountant 2,"6,851"
35-39,female,Upgraded,"6,835"
25-29,male,Final Destination: Bloodlines,"6,829"
18-24,female,Companion,"6,822"
50-54,female,Madame Web,"6,817"
40-44,female,Mission: Impossible – Dead Reckoning Part One,"6,805"
50-54,female,Scream VI,"6,789"
45-49,female,Red One,"6,784"
30-34,male,Air,"6,774"
45-49,female,Conclave,"6,749"
40-44,male,Conclave,"6,747"
50-54,female,A Haunting in Venice,"6,735"
45-49,male,Ballerina,"6,732"
40-44,male,Ballerina,"6,728"
40-44,female,The Flash,"6,724"
30-34,male,Conclave,"6,723"
30-34,male,Final Destination: Bloodlines,"6,721"
25-29,female,Beetlejuice Beetlejuice,"6,720"
40-44,male,Final Destination: Bloodlines,"6,708"
35-39,female,Gladiator II,"6,706"
35-39,female,Shazam! Fury of the Gods,"6,701"
50-54,female,Juror #2,"6,696"
18-24,female,A Minecraft Movie,"6,695"
45-49,female,Upgraded,"6,692"
45-49,female,Transformers: Rise of the Beasts,"6,683"
35-39,male,Final Destination: Bloodlines,"6,676"
50-54,male,Juror #2,"6,669"
18-24,male,Companion,"6,657"
25-29,female,Five Nights at Freddy's,"6,653"
40-44,male,A Haunting in Venice,"6,640"
35-39,male,Expend4bles,"6,634"
18-24,female,Jurassic World: Rebirth,"6,628"
40-44,male,Saltburn,"6,628"
35-39,male,A Haunting in Venice,"6,626"
50-54,female,Beetlejuice Beetlejuice,"6,608"
30-34,female,Scream VI,"6,599"
25-29,female,The Nun II,"6,593"
40-44,female,Gladiator II,"6,582"
25-29,female,Madame Web,"6,574"
40-44,female,Extraction 2,"6,562"
45-49,male,Plane,"6,542"
50-54,male,Ballerina,"6,531"
45-49,female,The Fall Guy,"6,531"
35-39,female,KPop Demon Hunters,"6,527"
25-29,male,Conclave,"6,525"
25-29,male,Bad Boys: Ride or Die,"6,514"
30-34,male,A Haunting in Venice,"6,494"
35-39,female,A Haunting in Venice,"6,494"
30-34,female,Madame Web,"6,488"
40-44,female,Upgraded,"6,475"
18-24,female,Red One,"6,474"
30-34,male,Beetlejuice Beetlejuice,"6,449"
45-49,male,Juror #2,"6,447"
50-54,female,Upgraded,"6,439"
18-24,male,65,"6,428"
35-39,male,The Pope's Exorcist,"6,413"
35-39,male,Ghostbusters: Frozen Empire,"6,413"
18-24,male,Cocaine Bear,"6,409"
30-34,female,A Haunting in Venice,"6,408"
25-29,male,Road House,"6,405"
18-24,female,Transformers: Rise of the Beasts,"6,403"
18-24,male,Teenage Mutant Ninja Turtles: Mutant Mayhem,"6,380"
25-29,male,A Man Called Otto,"6,376"
30-34,male,Wicked,"6,361"
35-39,female,The Flash,"6,357"
40-44,female,The Fall Guy,"6,357"
35-39,male,Saw X,"6,346"
50-54,male,Evil Dead Rise,"6,336"
45-49,female,The Nun II,"6,333"
40-44,female,A Haunting in Venice,"6,332"
30-34,male,Twisters,"6,318"
25-29,male,Saw X,"6,299"
25-29,female,Aquaman and The Lost Kingdom,"6,290"
25-29,female,A Man Called Otto,"6,282"
45-49,female,Juror #2,"6,276"
30-34,female,Gladiator II,"6,243"
30-34,male,Jurassic World: Rebirth,"6,230"
35-39,female,The Fall Guy,"6,228"
40-44,female,Transformers: Rise of the Beasts,"6,221"
35-39,female,Conclave,"6,217"
18-24,female,The Flash,"6,216"
30-34,male,Red One,"6,203"
25-29,male,A Haunting in Venice,"6,203"
18-24,female,Saw X,"6,200"
18-24,male,Past Lives,"6,196"
25-29,female,Sinners,"6,188"
45-49,male,Five Nights at Freddy's,"6,179"
30-34,male,65,"6,149"
45-49,female,The Pope's Exorcist,"6,143"
45-49,male,Renfield,"6,140"
35-39,male,Ballerina,"6,135"
45-49,male,Final Destination: Bloodlines,"6,118"
45-49,male,Kung Fu Panda 4,"6,114"
30-34,male,The Nun II,"6,108"
40-44,female,Conclave,"6,099"
