
"Source: Whip Media CVMi. Movies only. Neon, A24 titles only. United States originated titles only. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
After Yang,male,25-29,366
After Yang,female,40-44,366
The Spectacular Now,male,45-49,363
Eighth Grade,male,35-39,362
The Legend of Ochi,male,45-49,362
Luce,female,35-39,361
Ingrid Goes West,male,40-44,359
Vox Lux,female,45-49,353
Queer,female,50-54,349
Barely Lethal,male,40-44,348
Ingrid Goes West,male,45-49,348
Equals,male,30-34,346
After Yang,female,35-39,344
Friendship,male,40-44,343
Skin,male,45-49,342
Equals,male,25-29,338
Ingrid Goes West,female,50-54,336
The Legend of Ochi,male,40-44,336
VAL,male,40-44,335
Skin,female,45-49,335
Skin,male,35-39,329
Hot Summer Nights,male,30-34,327
Skin,male,40-44,325
Dark Places,female,25-29,324
Barely Lethal,male,30-34,323
Skin,female,50-54,323
The Sea of Trees,male,50-54,321
The Bad Batch,female,18-24,318
The Spectacular Now,male,50-54,314
Zola,male,18-24,314
While We're Young,female,35-39,313
Beach Rats,female,25-29,313
Friendship,male,35-39,312
Highest 2 Lowest,male,18-24,312
Zola,female,18-24,308
The Kill Team,male,18-24,308
Y2K,male,50-54,304
Vox Lux,female,35-39,303
Beach Rats,male,45-49,302
Barely Lethal,male,35-39,301
Skin,female,35-39,300
Hot Summer Nights,male,45-49,297
First Cow,male,18-24,295
Vox Lux,male,45-49,294
After Yang,female,18-24,293
While We're Young,male,45-49,293
Laggies,female,50-54,292
Eighth Grade,male,40-44,291
VAL,female,40-44,291
The Bad Batch,female,25-29,290
While We're Young,male,50-54,289
Highest 2 Lowest,male,25-29,288
Friendship,male,30-34,285
Dark Places,male,35-39,284
Opus,male,18-24,283
Vox Lux,female,30-34,281
Friendship,male,45-49,281
Vox Lux,male,50-54,277
While We're Young,female,30-34,277
The Kill Team,male,45-49,274
After Yang,female,30-34,274
Friendship,male,18-24,272
Beach Rats,male,50-54,271
Luce,female,30-34,271
Dark Places,female,18-24,270
Life After Beth,female,18-24,270
The Legend of Ochi,male,35-39,269
Luce,male,45-49,269
Clemency,female,45-49,268
Opus,male,45-49,268
The Legend of Ochi,male,18-24,266
First Cow,male,45-49,264
Hot Summer Nights,male,35-39,258
The Kill Team,male,40-44,256
While We're Young,male,40-44,255
Ingrid Goes West,male,50-54,247
Hot Summer Nights,male,40-44,247
After Yang,female,25-29,246
Skin,male,18-24,246
Dark Places,male,30-34,245
Friendship,male,25-29,244
The Legend of Ochi,female,50-54,242
Luce,male,40-44,241
Opus,male,40-44,241
Y2K,female,30-34,236
Beach Rats,female,45-49,235
Eighth Grade,male,50-54,235
The Kill Team,female,45-49,234
Highest 2 Lowest,female,35-39,234
Green Room,female,50-54,233
Skin,male,30-34,232
The Kill Team,male,35-39,232
Y2K,female,40-44,230
Zola,male,30-34,228
The Sea of Trees,female,45-49,227
Zola,female,45-49,225
The Front Room,female,45-49,224
First Cow,male,40-44,224
Luce,male,35-39,222
Skin,male,50-54,219
First Cow,male,35-39,219
Zola,female,25-29,218
The Last Black Man in San Francisco,male,18-24,218
Friendship,male,50-54,218
Zola,female,30-34,218
Y2K,female,25-29,216
Skin,female,30-34,216
First Cow,male,50-54,216
Zola,male,25-29,212
